Comment,Designator,Footprint,LCSC
2.2u,"C8,C9",C_0402_1005Metric,C12530
X49SM8MSD2SC,Y1,Crystal_SMD_HC49-SD,C12674
K2-1102SP-C4SC-04,"SW1,SW2",KEY-SMD_4P-L6.0-W6.0-P4.50-LS9.5-BL,C127509
10n,"C12,C14",C_0402_1005Metric,C15195
100n,"C1,C18,C2,C21,C22,C23,C3,C4,C5,C6",C_0402_1005Metric,C1525
10u,"C16,C17,C19,C20",C_0402_1005Metric,C15525
LMS8117A-3.3,"U2,U5",SOT-223-3_TabPin2,C201952
LED_RED,"D1,D2",LED_0603_1608Metric,C2286
LED_YELLOW,"D10,D3,D4,D5,D6,D7,D8,D9",LED_0805_2012Metric,C2296
4.7u,C7,C_0402_1005Metric,C23733
100,"R1,R2",R_0402_1005Metric,C25076
49.9,"R10,R3,R4,R5,R6,R7,R8,R9",R_0402_1005Metric,C25120
10k,"R11,R14",R_0402_1005Metric,C25744
47k,"R12,R13",R_0402_1005Metric,C25792
10p,"C10,C11",C_0402_1005Metric,C32949
USB3_A,J2,USB-A-SMD_U231-091N-4BLRA00-S-1,C381140
STM32H750VBTx,U1,LQFP-100_14x14mm_P0.5mm,C404010
USB_B_Micro_Receptacle,J1,USB_Micro_Receptacle_ShouHanMicroQTJ,C404968
1u,"C13,C15",C_0402_1005Metric,C52923
STMPS2141STR,U3,SOT-23-5,C54624
FPGA Connector,J4,PinHeader_2x15_P2.54mm_Vertical,C56496
TestPoints,J3,PinHeader_1x10_P2.54mm_Vertical,C57369
USBLC6-2SC6,U4,SOT-23-6,C7519
